"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9921","Login validation for SauceDemo users","","2026-01-23","passed","2026-01-23","","SauceDemo Login","Login validation for SauceDemo users",""
"","17915","Login validation for SauceDemo users","","2026-01-23","failed","2026-01-23","","SauceDemo Login","Login validation for SauceDemo users",""
"","10031","Login validation for SauceDemo users","","2026-01-23","failed","2026-01-23","","SauceDemo Login","Login validation for SauceDemo users",""
"","19646","Login validation for SauceDemo users","","2026-01-23","failed","2026-01-23","","SauceDemo Login","Login validation for SauceDemo users",""
"","15353","Login validation for SauceDemo users","","2026-01-23","passed","2026-01-23","","SauceDemo Login","Login validation for SauceDemo users",""
"","9054","Login validation for SauceDemo users","","2026-01-23","passed","2026-01-23","","SauceDemo Login","Login validation for SauceDemo users",""
"","9276","Login validation for SauceDemo users","","2026-01-23","passed","2026-01-23","","SauceDemo Login","Login validation for SauceDemo users",""
